idea_id,idea_comment_checkbox,idea_content,idea_attachment,user_id,category_id,academic_id,idea_date,idea_likes,idea_dislikes,idea_comment_count,"idea_view_count, dept_id"
72,,"Should we make a contest for mr and miss fresher?",mr-freshers-miss-freshers-.jpg,49,24,37,2022-03-10,4,1,4,23,1
73,,"There is not enough books in the library. How do you guys think?",library.jpeg,51,23,37,2022-03-10,4,1,3,11,27
74,anonymous,"In laboratory, most of the equipment is broken and some of them are rusted. Students do not have  any chances to learn through experiment. Should i write letter to principal? ",lab.jpg,52,23,37,2022-03-11,1,1,2,11,27
75,,"I want to make a tour of university campus for freshers.",Yonsei.png,57,24,37,2022-03-11,2,0,1,7,29
76,,"Can i make an event for students how to incorporate meaningful break time into busy schedule?",break.jpg,56,21,37,2022-03-11,2,1,3,13,28
77,,"The environmental center is coming campus to present ways that students can adopt a zero waste lifestyle and how to support helping protect the earth.",tree.jpg,58,21,37,2022-03-11,1,0,0,2,29
79,anonymous,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras quis nisi quis quam feugiat tincidunt. Fusce non lorem non lacus consequat rutrum. Mauris tempor elit vitae purus vulputate bibendum. Ut. ",test1.jpg,59,25,37,2022-03-11,1,0,0,1,29
80,anonymous,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam sed libero metus. Suspendisse cursus odio dictum gravida interdum. Morbi eros enim, egestas quis justo vitae. ",exam.jpg,62,26,37,2022-03-11,1,0,0,3,30
82,anonymous,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse sit amet vulputate purus. Nunc in tempus dolor. Cras congue vitae nulla et maximus. Nulla et. ",test4.jpg,60,21,37,2022-03-12,1,0,1,3,30
83,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas lobortis purus sit amet quam rutrum tempus. Integer volutpat mi dolor, tempus feugiat nulla hendrerit in. ",test5.jpg,61,21,37,2022-03-12,1,0,0,4,30
84,anonymous,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla consectetur quis leo sed fringilla. Pellentesque condimentum vulputate massa id sollicitudin. Mauris a egestas neque. Nulla. ",test7.jpg,58,25,37,2022-03-12,1,0,0,3,29
85,anonymous,"need coffee shop",anime-coffee-shop-illustration.jpg,1,22,38,2025-04-20,0,1,0,9,1
86,anonymous,"need coffee shop",anime-coffee-shop-illustration.jpg,1,22,38,2025-04-20,1,0,2,5,1
88,,"Testing (With Identificaiton)",testing.jpg,64,21,39,2025-04-28,0,0,0,2,27
89,anonymous,"Testing2 (Anonymous)",testing.jpg,64,21,39,2025-04-28,0,0,0,1,27
90,,Testing3,testing.jpg,64,21,39,2025-04-28,0,0,0,1,27
91,,Testing123,testing.jpg,64,23,39,2025-04-28,0,0,0,0,27
