comment_id,comment_content,comment_checkbox,user_id,idea_id,comment_date
63,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed porta justo magna, at venenatis arcu pellentesque ut.",anonymous,59,73,2022-03-11
64,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam viverra in arcu sit amet aliquam. Nulla mollis ex lorem, in venenatis erat fermentum eu.",anonymous,59,72,2022-03-11
65,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus eget lorem non augue laoreet scelerisque",,62,74,2022-03-11
66,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut tincidunt. ",,62,76,2022-03-11
67,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin ut.",,58,82,2022-03-12
68,23,anonymous,1,72,2025-04-22
69,nbnb,,1,72,2025-04-22
70,asa,,1,73,2025-04-22
71,xcxcx,,1,73,2025-04-22
72,qwe,anonymous,1,75,2025-04-22
73,"hello ",anonymous,1,74,2025-04-23
74,"ya it must be there",anonymous,1,86,2025-04-24
75,hvhvh,,69,72,2025-04-25
76,"testing
",,1,86,2025-04-26
77,"Comment Testing Anonymous",anonymous,70,76,2025-04-28
78,"Comment Testing With username",,70,76,2025-04-28
